Assembly Accession	TaxID	Organism	Assembly Level	Chromsome Count	Total Length	Contig Count	Contig N50	Scaffold Count	Scaffold N50	Read Coverage	Submission Date	Latest Update	Bio Source	GC Content	ATCC Catalog
GCF_000239255.1	1002364	Hafnia alvei ATCC 51873 (enterobacteria)	Scaffold	0	4883880	118	95454	79	198921	97.7	2011/12/21 00:00	2016/11/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 51873')]))])), ('Sex', None), ('Isolate', None)])	0.4822	51873
GCF_000239295.1	411475	Flavonifractor plautii ATCC 29863 (firmicutes)	Scaffold	0	3820124	344	19607	242	31212	144.6	2011/12/21 00:00	2016/11/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 29863')]))])), ('Sex', None), ('Isolate', None)])	0.6107	29863
GCF_000239335.1	1002368	Yokenella regensburgei ATCC 43003 (enterobacteria)	Scaffold	0	4681222	48	176351	16	2596006	127.1	2011/12/21 00:00	2016/11/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 43003')]))])), ('Sex', None), ('Isolate', None)])	0.5482	43003
GCF_000241405.1	1002366	Listeria innocua ATCC 33091 (firmicutes)	Scaffold	0	2892121	45	227246	17	1455432	166.3	2012/01/06 00:00	2020/10/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33091')]))])), ('Sex', None), ('Isolate', None)])	0.3735	33091
GCF_000251025.1	523831	Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (enterobacteria)	Chromosome	1	4812143	7	2733272	3	4672567	0	2012/03/06 00:00	2014/09/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-1581')]))])), ('Sex', None), ('Isolate', None)])	0.5173	BAA-1581
GCF_000252955.1	406817	Xenorhabdus nematophila ATCC 19061 (enterobacteria)	Chromosome	1	4587917	4	2333191	2	4432590	0	2010/06/07 00:00	2018/04/04 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 19061')]))])), ('Sex', None), ('Isolate', None)])	0.4421	19061
gcf_000252995.1	218493	Salmonella bongori NCTC 12419 (enterobacteria)	Complete Genome	1	4460105	1	4460105	1	4460105	0	2011/07/06 00:00	2012/10/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NCTC 12419')]))])), ('Sex', None), ('Isolate', None)])	0.5133	43975
GCF_000254515.1	889247	Campylobacter jejuni subsp. jejuni ATCC 33560 (e-proteobacteria)	Contig	0	1712461	220	24688	220	24688	0	2012/03/16 00:00	2014/10/09 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33560')]))])), ('Sex', None), ('Isolate', None)])	0.3019	33560
GCF_000258445.1	1095731	Streptococcus intermedius SK54 = ATCC 27335 (firmicutes)	Contig	0	1910718	17	284139	17	284139	27	2012/04/10 00:00	2012/11/23 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'SK54')]))])), ('Sex', None), ('Isolate', None)])	0.3758	27335
GCF_000258845.1	102618	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 (e-proteobacteria)	Contig	0	1600513	163	18219	163	18219	120	2012/04/16 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'CCUG 17874')]))])), ('Sex', None), ('Isolate', None)])	0.3900	43504
GCF_000269965.1	391904	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088 (high GC Gram+)	Complete Genome	1	2828958	1	2828958	1	2828958	0	2011/01/28 00:00	2016/11/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'JCM 1222')]))])), ('Sex', None), ('Isolate', None)])	0.5986	15697
GCF_000270185.1	940190	Melissococcus plutonius ATCC 35311 (firmicutes)	Chromosome	1	2068732	3	1891014	2	1891014	44	2011/05/09 00:00	2012/11/26 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 35311')]))])), ('Sex', None), ('Isolate', None)])	0.3124	35311
GCF_000282895.1	194867	Sphingomonas sp. ATCC 31555 (a-proteobacteria)	Contig	0	4046117	62	156585	62	156585	110	2012/07/30 00:00	2014/07/12 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 31555')]))])), ('Sex', None), ('Isolate', None)])	0.6586	31555
GCF_000286555.1	985079	Burkholderia multivorans ATCC BAA-247 (b-proteobacteria)	Contig	0	6197304	590	17154	590	17154	63	2012/08/10 00:00	2012/11/23 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-247')]))])), ('Sex', None), ('Isolate', None)])	0.6714	BAA-247
GCF_000290615.1	1121088	Weizmannia coagulans DSM 1 = ATCC 7050 (firmicutes)	Contig	0	3018045	307	36002	307	36002	150	2012/08/16 00:00	2013/05/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 1')]))])), ('Sex', None), ('Isolate', None)])	0.4720	7050
GCF_000295855.1	1214102	Mycolicibacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 (high GC Gram+)	Scaffold	0	6349738	325	33142	82	159889	150	2012/09/12 00:00	2012/09/24 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 46621')]))])), ('Sex', None), ('Isolate', None)])	0.6621	6841
GCF_000297315.1	1163394	Pseudomonas aeruginosa ATCC 700888 (g-proteobacteria)	Contig	0	6794802	600	30042	600	30042	36	2012/09/17 00:00	2012/11/23 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 700888')]))])), ('Sex', None), ('Isolate', None)])	0.6612	700888
GCF_000299635.1	1219061	Vibrio vulnificus NBRC 15645 = ATCC 27562 (g-proteobacteria)	Contig	0	4327239	194	119940	194	119940	100	2012/09/27 00:00	2014/07/12 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 27562')]))])), ('Sex', None), ('Isolate', None)])	0.4669	27562
GCF_000330945.1	1262449	Clostridium pasteurianum DSM 525 = ATCC 6013 (firmicutes)	Contig	0	4285687	37	229401	37	229401	100	2013/01/03 00:00	2013/01/18 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 525')]))])), ('Sex', None), ('Isolate', None)])	0.2975	6013
GCF_000335055.2	1051353	Escherichia coli ATCC 700728 (E. coli)	Contig	0	5110616	131	113966	131	113966	57.85	2013/01/31 00:00	2015/10/20 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 700728')]))])), ('Sex', None), ('Isolate', None)])	0.5034	700728
GCF_000336405.1	1158600	Enterococcus faecium ATCC 8459 = NRRL B-2354 (firmicutes)	Complete Genome	1	2849891	2	2635572	2	2635572	0	2013/02/04 00:00	2015/07/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NRRL B-2354')]))])), ('Sex', None), ('Isolate', None)])	0.3787	8459
GCF_000347875.1	1257041	Streptococcus mutans ATCC 25175 (firmicutes)	Contig	0	1999673	10	233425	10	233425	100	2013/03/21 00:00	2014/10/09 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25175')]))])), ('Sex', None), ('Isolate', None)])	0.3687	25175
GCF_000349265.2	1276652	Klebsiella pneumoniae ATCC BAA-1705 (enterobacteria)	Contig	0	5657550	168	203714	168	203714	800	2013/03/26 00:00	2015/10/19 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-1705')]))])), ('Sex', None), ('Isolate', None)])	0.5713	BAA-1705
GCF_000349285.2	1263871	Klebsiella pneumoniae ATCC BAA-2146 (enterobacteria)	Contig	0	5674981	108	270044	108	270044	800	2013/03/26 00:00	2015/10/19 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2146')]))])), ('Sex', None), ('Isolate', None)])	0.5703	BAA-2146
GCF_000354175.2	1219076	Vibrio alginolyticus NBRC 15630 = ATCC 17749 (g-proteobacteria)	Complete Genome	2	5146637	2	3334467	2	3334467	20	2013/09/10 00:00	2013/09/17 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 17749')]))])), ('Sex', None), ('Isolate', None)])	0.4468	17749
GCF_000364385.3	573	Klebsiella pneumoniae (enterobacteria)	Complete Genome	1	5781501	5	5435746	5	5435746	85	2016/01/04 00:00	2016/02/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2146')]))])), ('Sex', None), ('Isolate', None)])	0.5697	BAA-2146
GCF_000367325.1	1216967	Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535 (CFB group bacteria)	Contig	0	3840286	34	248179	34	248179	103	2013/04/12 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NBRC 12535')]))])), ('Sex', None), ('Isolate', None)])	0.3644	13253
GCF_000369385.1	575584	Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841 (g-proteobacteria)	Scaffold	0	4028903	32	447573	23	744065	125	2013/04/19 00:00	2014/09/27 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'CIP 70.34')]))])), ('Sex', None), ('Isolate', None)])	0.3910	19606
GCF_000373865.1	1121315	Terrisporobacter glycolicus ATCC 14880 = DSM 1288 (firmicutes)	Scaffold	0	4001803	36	393729	30	393729	0	2013/04/23 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 14880')]))])), ('Sex', None), ('Isolate', None)])	0.2838	14880
GCF_000373885.1	1121114	Blautia producta ATCC 27340 = DSM 2950 (firmicutes)	Scaffold	0	6085687	71	241035	68	263009	0	2013/04/23 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 27340')]))])), ('Sex', None), ('Isolate', None)])	0.4569	27340
GCF_000376285.1	1121308	Clostridioides difficile ATCC 9689 = DSM 1296 (firmicutes)	Contig	0	4207674	70	211658	70	211658	0	2013/04/20 00:00	2014/10/09 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 9689')]))])), ('Sex', None), ('Isolate', None)])	0.2839	9689
GCF_000379545.1	663932	Acetobacter aceti ATCC 23746 (a-proteobacteria)	Scaffold	0	3690768	8	3591211	3	3683903	0	2013/04/23 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 23746')]))])), ('Sex', None), ('Isolate', None)])	0.5706	23746
GCF_000382905.1	1204414	Corynebacterium glutamicum K051 (high GC Gram+)	Complete Genome	1	3309400	1	3309400	1	3309400	0	2012/04/23 00:00	2015/07/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 13032 substr. K051')]))])), ('Sex', None), ('Isolate', None)])	0.5380	13032
GCF_000383255.1	1266923	Brachyspira hyodysenteriae ATCC 27164 (bacteria)	Scaffold	0	3050489	52	179814	46	529296	0	2013/04/26 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'B78')]))])), ('Sex', None), ('Isolate', None)])	0.2702	27164
GCF_000393395.1	1169312	Enterococcus faecalis ATCC 10100 (firmicutes)	Scaffold	0	3004951	18	464391	6	1502821	142	2013/05/14 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 10100')]))])), ('Sex', None), ('Isolate', None)])	0.3733	10100
GCF_000393855.1	1158600	Enterococcus faecium ATCC 8459 = NRRL B-2354 (firmicutes)	Scaffold	0	2871323	26	159489	9	447687	135	2013/05/15 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 8459')]))])), ('Sex', None), ('Isolate', None)])	0.3787	8459
GCF_000401415.1	1216967	Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535 (CFB group bacteria)	Contig	0	3796928	115	64581	115	64581	35	2013/05/24 00:00	2013/06/09 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 13253')]))])), ('Sex', None), ('Isolate', None)])	0.3658	13253
GCF_000401755.1	1322345	Escherichia coli ATCC 25922 (E. coli)	Contig	0	5113276	116	147323	116	147323	100	2013/05/28 00:00	2014/10/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25922')]))])), ('Sex', None), ('Isolate', None)])	0.5037	25922
GCF_000407385.1	1158600	Enterococcus faecium ATCC 8459 = NRRL B-2354 (firmicutes)	Contig	0	2820063	10	532154	10	532154	140	2013/05/31 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 8459')]))])), ('Sex', None), ('Isolate', None)])	0.3790	8459
GCF_000409285.1	1159613	Cronobacter muytjensii ATCC 51329 (enterobacteria)	Contig	0	4322611	72	123205	72	123205	12	2013/06/07 00:00	2021/03/25 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 51329')]))])), ('Sex', None), ('Isolate', None)])	0.5772	51329
GCF_000413475.1	1095731	Streptococcus intermedius SK54 = ATCC 27335 (firmicutes)	Contig	0	1951449	10	266223	10	266223	143	2013/06/21 00:00	2013/06/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 27335')]))])), ('Sex', None), ('Isolate', None)])	0.3766	27335
GCF_000417905.1	1219067	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	Contig	0	5130031	45	192071	45	192071	779	2013/07/02 00:00	2014/09/19 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 14048')]))])), ('Sex', None), ('Isolate', None)])	0.4503	14048
GCF_000420205.1	1121088	Weizmannia coagulans DSM 1 = ATCC 7050 (firmicutes)	Contig	0	2947823	170	33954	170	33954	0	2013/07/09 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 7050')]))])), ('Sex', None), ('Isolate', None)])	0.4731	7050
GCF_000438785.2	1219067	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	Scaffold	0	5113814	176	62844	172	62844	300	2013/07/19 00:00	2015/10/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 759')]))])), ('Sex', None), ('Isolate', None)])	0.4502	14048
GCF_000438845.1	1121308	Clostridioides difficile ATCC 9689 = DSM 1296 (firmicutes)	Scaffold	0	4213273	41	262259	30	266743	0	2013/07/19 00:00	2014/10/09 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 1296')]))])), ('Sex', None), ('Isolate', None)])	0.2839	9689
GCF_000439065.1	1122984	Prevotella intermedia ATCC 25611 = DSM 20706 (CFB group bacteria)	Scaffold	0	2564533	25	192278	21	209712	0	2013/07/19 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 20706')]))])), ('Sex', None), ('Isolate', None)])	0.4333	25611
GCF_000439105.1	1121315	Terrisporobacter glycolicus ATCC 14880 = DSM 1288 (firmicutes)	Scaffold	0	4020458	20	1096719	17	2636478	0	2013/07/19 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 1288')]))])), ('Sex', None), ('Isolate', None)])	0.2838	14880
GCF_000439125.1	1121114	Blautia producta ATCC 27340 = DSM 2950 (firmicutes)	Scaffold	0	6088658	84	183157	72	218556	0	2013/07/19 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 2950')]))])), ('Sex', None), ('Isolate', None)])	0.4569	27340
GCF_000464435.1	1224742	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC BAA-1116 (g-proteobacteria)	Complete Genome	2	6031829	3	3746887	3	3746887	0	2013/09/04 00:00	2013/09/13 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-1116')]))])), ('Sex', None), ('Isolate', None)])	0.4542	BAA-1116
GCF_000466525.1	500634	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 (high GC Gram+)	Scaffold	0	2201251	54	67420	27	210245	181	2013/09/12 00:00	2013/10/18 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 29521')]))])), ('Sex', None), ('Isolate', None)])	0.6268	29521
GCF_000467145.1	1219076	Vibrio alginolyticus NBRC 15630 = ATCC 17749 (g-proteobacteria)	Contig	0	5049668	76	221121	76	221121	93	2013/09/13 00:00	2014/09/19 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NBRC 15630')]))])), ('Sex', None), ('Isolate', None)])	0.4459	17749
GCF_000469365.1	649758	Levilactobacillus brevis ATCC 14869 = DSM 20054 (firmicutes)	Scaffold	0	2473047	139	30909	86	57374	119	2013/09/20 00:00	2013/09/24 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 14869')]))])), ('Sex', None), ('Isolate', None)])	0.4595	14869
GCF_000473485.1	983594	Burkholderia cepacia ATCC 25416 (b-proteobacteria)	Scaffold	0	8612710	46	369461	4	3405813	0	2013/09/30 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25416')]))])), ('Sex', None), ('Isolate', None)])	0.6658	25416
GCF_000473725.2	1389955	Escherichia coli ATCC 35150 (E. coli)	Contig	0	5256474	358	88761	358	88761	72.05	2013/12/17 00:00	2014/10/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 35150')]))])), ('Sex', None), ('Isolate', None)])	0.5047	35150
GCF_000486305.1	1173938	Salmonella enterica subsp. enterica serovar Urbana str. ATCC 9261 (enterobacteria)	Contig	0	4670747	279	41150	279	41150	14	2013/10/28 00:00	2014/09/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 9261')]))])), ('Sex', None), ('Isolate', None)])	0.5234	9261
GCF_000486485.1	1124968	Salmonella enterica subsp. enterica serovar Stanley str. ATCC 7308 (enterobacteria)	Contig	0	4687824	184	56118	184	56118	17.4	2013/10/28 00:00	2014/09/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 7308')]))])), ('Sex', None), ('Isolate', None)])	0.5218	7308
GCF_000486685.1	930774	Salmonella enterica subsp. enterica serovar Paratyphi B str. ATCC 10719 (enterobacteria)	Contig	0	4694473	82	119778	82	119778	19	2013/10/28 00:00	2014/09/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 10719')]))])), ('Sex', None), ('Isolate', None)])	0.5224	10719
GCF_000486705.1	523829	Salmonella enterica subsp. enterica serovar Paratyphi B str. ATCC BAA-1585 (enterobacteria)	Contig	0	4803573	88	153241	88	153241	18	2013/10/28 00:00	2014/09/16 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-1585')]))])), ('Sex', None), ('Isolate', None)])	0.5203	BAA-1585
GCF_000487295.3	938142	Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708 (enterobacteria)	Complete Genome	1	4801679	2	4752095	2	4752095	187	2018/08/24 00:00	2018/09/24 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 10708')]))])), ('Sex', None), ('Isolate', None)])	0.5218	10708
GCF_000487915.2	1208611	Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640 (enterobacteria)	Complete Genome	1	4547600	1	4547600	1	4547600	73	2014/04/04 00:00	2015/01/21 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 35640')]))])), ('Sex', None), ('Isolate', None)])	0.5232	35640
GCF_000493295.2	1124962	Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673 (enterobacteria)	Complete Genome	1	5091833	3	4876720	3	4876720	283	2018/01/05 00:00	2018/01/12 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-1673')]))])), ('Sex', None), ('Isolate', None)])	0.5223	BAA-1673
GCF_000496345.2	1404261	Escherichia coli ATCC BAA-2192 (E. coli)	Contig	0	5329433	330	139178	330	139178	74.21	2013/12/17 00:00	2014/10/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2192')]))])), ('Sex', None), ('Isolate', None)])	0.5028	BAA-2192
GCF_000496365.2	1404262	Escherichia coli ATCC BAA-2193 (E. coli)	Contig	0	5418998	451	91855	451	91855	89.68	2013/12/17 00:00	2014/10/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2193')]))])), ('Sex', None), ('Isolate', None)])	0.5033	BAA-2193
GCF_000504485.1	1424337	Pseudomonas aeruginosa ATCC 15442 (g-proteobacteria)	Contig	0	6770586	200	128849	200	128849	153	2013/12/06 00:00	2014/09/19 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 15442')]))])), ('Sex', None), ('Isolate', None)])	0.6620	15442
GCF_000506845.1	1405294	Escherichia coli ATCC BAA-2215 (E. coli)	Contig	0	5284807	373	92001	373	92001	144.66	2013/12/11 00:00	2014/10/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2215')]))])), ('Sex', None), ('Isolate', None)])	0.5055	BAA-2215
GCF_000508365.1	1405292	Escherichia coli ATCC BAA-2196 (E. coli)	Contig	0	5522771	503	103925	503	103925	81.24	2013/12/16 00:00	2014/05/05 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2196')]))])), ('Sex', None), ('Isolate', None)])	0.5036	BAA-2196
GCF_000508385.1	1405295	Escherichia coli ATCC BAA-2219 (E. coli)	Contig	0	5161016	495	59949	495	59949	66.66	2013/12/16 00:00	2014/10/02 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-2219')]))])), ('Sex', None), ('Isolate', None)])	0.5042	BAA-2219
GCF_000518545.1	1336250	Hallella seregens ATCC 51272 (CFB group bacteria)	Scaffold	0	3266753	62	104772	58	127419	0	2014/01/13 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 51272')]))])), ('Sex', None), ('Isolate', None)])	0.5598	51272
GCF_000519165.1	1122984	Prevotella intermedia ATCC 25611 = DSM 20706 (CFB group bacteria)	Scaffold	0	2573247	26	206536	22	206536	0	2014/01/13 00:00	2014/07/11 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25611')]))])), ('Sex', None), ('Isolate', None)])	0.4334	25611
GCF_000586095.1	91891	Legionella pneumophila subsp. pneumophila (g-proteobacteria)	Scaffold	0	3428484	31	378488	14	1479475	188.9	2014/03/07 00:00	2014/10/12 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 43703')]))])), ('Sex', None), ('Isolate', None)])	0.3818	43703
GCF_000586115.1	91891	Legionella pneumophila subsp. pneumophila (g-proteobacteria)	Scaffold	0	3339895	50	219408	31	497383	180.3	2014/03/07 00:00	2014/10/12 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 43290')]))])), ('Sex', None), ('Isolate', None)])	0.3813	43290
